URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/designation-use,4.0.1,active,"2.16.840.1.113883.4.642.3.264",DesignationUse,Designation Use,"Details of how a designation would be used",,"SCT"
https://mos.esante.gouv.fr/NOS/JDV_J180-BesoinEntretienPersonnel-MDPH/FHIR/JDV-J180-BesoinEntretienPersonnel-MDPH,20210924120000,active,"1.2.250.1.213.3.4.15",JDV_J180_BesoinEntretienPersonnel_MDPH,null,"Caractérise les besoins d'aide de la personne en matière de scolarité, en lien avec l'entretien personnel",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J181-BesoinMobilite-MDPH/FHIR/JDV-J181-BesoinMobilite-MDPH,20210924120000,active,"1.2.250.1.213.3.4.16",JDV_J181_BesoinMobilite_MDPH,null,"Caractérise les besoins d'aide de la personne en matière de scolarité, en lien avec la mobilité",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J182-BesoinScolarite-MDPH/FHIR/JDV-J182-BesoinScolarite-MDPH,20210924120000,active,"1.2.250.1.213.3.4.17",JDV_J182_BesoinScolarite_MDPH,null,"Caractérise les besoins d'aide de la personne en matière de scolarité, en lien avec les apprentissages",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J183-Diplome-EPARS/FHIR/JDV-J183-Diplome-EPARS,20240628120000,active,"1.2.250.1.213.1.6.1.240",JDV_J183_Diplome_EPARS,null,"Diplômes pour l'application EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J185-TypeFermeture-ROR/FHIR/JDV-J185-TypeFermeture-ROR,20220930120000,active,"1.2.250.1.213.3.4.18",JDV_J185_TypeFermeture_ROR,null,"Destination d'usage du lieu pour le lieu de réalisation de l'offre.",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J186-ProfessionRessource-ROR/FHIR/JDV-J186-ProfessionRessource-ROR,20240426120000,active,"1.2.250.1.213.3.4.19",JDV_J186_ProfessionRessource_ROR,null,"Profession Ressource des offres dans le ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J187-NatureCapacite-ROR/FHIR/JDV-J187-NatureCapacite-ROR,20220527120000,active,"1.2.250.1.213.3.4.20",JDV_J187_NatureCapacite_ROR,null,"Permet d'indiquer dans le ROR si la capacité est exprimée en lits ou en places",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J188-TypeStatutCapacite-ROR/FHIR/JDV-J188-TypeStatutCapacite-ROR,20220527120000,active,"1.2.250.1.213.3.4.21",JDV_J188_TypeStatutCapacite_ROR,null,"Permet de préciser dans le ROR le statut des lits décrits",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J189-TemporaliteCapacite-ROR/FHIR/JDV-J189-TemporaliteCapacite-ROR,20230922120000,active,"1.2.250.1.213.3.4.22",JDV_J189_TemporaliteCapacite_ROR,null,"Sert à indiquer le moment où une capacité sera effective. Il est ainsi possible de décrire la situation immédiate ou de fournir une information prospective de capacités, prenant notamment en compte les entrées et sorties déjà identifiés de patients",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J19-ModePriseEnCharge-ROR/FHIR/JDV-J19-ModePriseEnCharge-ROR,20230127120000,active,"1.2.250.1.213.3.4.1",JDV_J19_ModePriseEnCharge_ROR,null,"Mode de la prise en charge - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J190-GenreCapacite-ROR/FHIR/JDV-J190-GenreCapacite-ROR,20220527120000,active,"1.2.250.1.213.3.4.23",JDV_J190_GenreCapacite_ROR,null,"Permet d'indiquer dans le ROR le genre des patients qui peuvent être installés dans des lits disponibles",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J191-TypeFermetureCapacite-ROR/FHIR/JDV-J191-TypeFermetureCapacite-ROR,20220527120000,active,"1.2.250.1.213.3.4.24",JDV_J191_TypeFermetureCapacite_ROR,null,"Permet d'indiquer dans le ROR le statut de lits fermés, afin d'identifier le nombre de lits fermés qui peuvent être réactivés en cas de besoin et le nombre de ceux qui ne peuvent pas l'être",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J192-TypeLitSupplementaire-ROR/FHIR/JDV-J192-TypeLitSupplementaire-ROR,20220527120000,active,"1.2.250.1.213.3.4.25",JDV_J192_TypeLitSupplementaire_ROR,null,"Permet d'indiquer dans le ROR le statut de lits supplémentaires, pour identifier le nombre de lits supplémentaires déjà mobilisés et, par typologie de mobilisation possible, le nombre de lits qui ne le sont pas encore",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J193-TypeSourceCapacite-ROR/FHIR/JDV-J193-TypeSourceCapacite-ROR,20220527120000,active,"1.2.250.1.213.3.4.26",JDV_J193_TypeSourceCapacite_ROR,null,"Permet d'indiquer dans le ROR quel type de source est à l'origine de l'information de capacité",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J194-TypeCrise-ROR/FHIR/JDV-J194-TypeCrise-ROR,20220527120000,active,"1.2.250.1.213.3.4.27",JDV_J194_TypeCrise_ROR,null,"Permet d'indiquer dans le ROR le type de crise qui permet de mobiliser le nombre de lits supplémentaires décrits",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J195-AffectationTemporaire-ROR/FHIR/JDV-J195-AffectationTemporaire-ROR,20220527120000,active,"1.2.250.1.213.3.4.28",JDV_J195_AffectationTemporaire_ROR,null,"Permet d'indiquer dans le ROR la réservation de tout ou partie des lits d'une zone d'hébergement pour des patients selon qu'ils soient -ou non- concernés par une pathologie (Covid+, Covid-, …) ou un évènement (catastrophe naturelle, attentat, …)",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J196-StatutCommunication-ROR/FHIR/JDV-J196-StatutCommunication-ROR,20220527120000,active,"1.2.250.1.213.3.4.29",JDV_J196_StatutCommunication_ROR,null,"Permet de donner une indication dans le ROR pour savoir une action doit être menée ou de son résultat lorsqu'elle a été menée",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J197-XdsTypesIdentifiantsReferenceId-CISIS/FHIR/JDV-J197-XdsTypesIdentifiantsReferenceId-CISIS,20220624120000,active,"1.2.250.1.213.1.1.5.692",JDV_J197_XdsTypesIdentifiantsReferenceId_CISIS,null,"Types d'identifiants utilisés dans la métadonnée XDS referenceIdList de la fiche du document dans le cadre du CISIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J198-FonctionLieu-ROR/FHIR/JDV-J198-FonctionLieu-ROR,20220930120000,active,"1.2.250.1.213.3.4.30",JDV_J198_FonctionLieu_ROR,null,"Destination d'usage du lieu pour le lieu de réalisation de l'offre.",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J199-StatutJuridique-ROR/FHIR/JDV-J199-StatutJuridique-ROR,20220826120000,active,"1.2.250.1.213.3.4.31",JDV_J199_StatutJuridique_ROR,null,"Statuts juridiques provenant de FINESS et RPPS",,"Other"
https://mos.esante.gouv.fr/NOS/JDV_J20-ChampActivite-ROR/FHIR/JDV-J20-ChampActivite-ROR,20231030120000,active,"1.2.250.1.213.3.4.7",JDV_J20_ChampActivite_ROR,null,"Champ d'activité - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J200-SousEnsembleAgregatStatutJuridique-ROR/FHIR/JDV-J200-SousEnsembleAgregatStatutJuridique-ROR,20240126120000,active,"1.2.250.1.213.3.4.32",JDV_J200_SousEnsembleAgregatStatutJuridique_ROR,null,"Agrégats de statuts juridiques FINESS niveau 2",,"Other"
https://mos.esante.gouv.fr/NOS/JDV_J201-TypeFermeture-ROR/FHIR/JDV-J201-TypeFermeture-ROR,20220826120000,active,"1.2.250.1.213.3.4.33",JDV_J201_TypeFermeture_ROR,null,"Type de fermeture, codes provenant du FINESS pour les EJ et EG",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J202-ESPIC-ROR/FHIR/JDV-J202-ESPIC-ROR,20220826120000,active,"1.2.250.1.213.3.4.34",JDV_J202_ESPIC_ROR,null,"Etablissement de santé privé d'intérêt collectif",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J203-TypeOrganisationInterne-ROR/FHIR/JDV-J203-TypeOrganisationInterne-ROR,20230922120000,active,"1.2.250.1.213.3.4.35",JDV_J203_TypeOrganisationInterne_ROR,null,"Type Organisation interne ou d’organization (FHIR)",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J204-NiveauRecoursORSAN-ROR/FHIR/JDV-J204-NiveauRecoursORSAN-ROR,20220826120000,active,"1.2.250.1.213.3.4.36",JDV_J204_NiveauRecoursORSAN_ROR,null,"Hiérarchisation fonctionnelle des Éts pour accueil patients après le SAMU",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J205-UnitePrix-ROR/FHIR/JDV-J205-UnitePrix-ROR,20220826120000,active,"1.2.250.1.213.3.4.37",JDV_J205_UnitePrix_ROR,null,"Unité de prix",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J206-PrestationNonObligatoireIncluse-ROR/FHIR/JDV-J206-PrestationNonObligatoireIncluse-ROR,20220826120000,active,"1.2.250.1.213.3.4.38",JDV_J206_PrestationNonObligatoireIncluse_ROR,null,"Prestations non obligatoire incluses",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J207-Civilite-ROR/FHIR/JDV-J207-Civilite-ROR,20220826120000,active,"1.2.250.1.213.3.4.39",JDV_J207_Civilite_ROR,null,"Civilité",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J208-CiviliteExercice-ROR/FHIR/JDV-J208-CiviliteExercice-ROR,20220826120000,active,"1.2.250.1.213.3.4.40",JDV_J208_CiviliteExercice_ROR,null,"Civilité d'exercice",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J209-TypeSavoirFaire-ROR/FHIR/JDV-J209-TypeSavoirFaire-ROR,20231030120000,active,"1.2.250.1.213.3.4.41",JDV_J209_TypeSavoirFaire_ROR,null,"Type de savoir-faire",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J21-PalierAuthentificationActeurPP/FHIR/JDV-J21-PalierAuthentificationActeurPP,20200424120000,active,"1.2.250.1.213.1.5.2.1.1",JDV_J21_PalierAuthentificationActeurPP,null,"Palier du référentiel PGSSI-S d'authentification des professionnels",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J210-SpecialiteOrdinale-ROR/FHIR/JDV-J210-SpecialiteOrdinale-ROR,20231030120000,active,"1.2.250.1.213.3.4.42",JDV_J210_SpecialiteOrdinale_ROR,null,"Spécialité ordinale",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J211-CompetenceExclusive-ROR/FHIR/JDV-J211-CompetenceExclusive-ROR,20220826120000,active,"1.2.250.1.213.3.4.43",JDV_J211_CompetenceExclusive_ROR,null,"Compétence exclusive",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J212-OrientationParticuliere-ROR/FHIR/JDV-J212-OrientationParticuliere-ROR,20220826120000,active,"1.2.250.1.213.3.4.44",JDV_J212_OrientationParticuliere_ROR,null,"Orientation particulière",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J213-CapaciteSavoirFaire-ROR/FHIR/JDV-J213-CapaciteSavoirFaire-ROR,20220826120000,active,"1.2.250.1.213.3.4.45",JDV_J213_CapaciteSavoirFaire_ROR,null,"Capacité (savoir-faire)",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J214-QualificationPAC-ROR/FHIR/JDV-J214-QualificationPAC-ROR,20220826120000,active,"1.2.250.1.213.3.4.46",JDV_J214_QualificationPAC_ROR,null,"Qualification de praticien adjoint contractuel",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J215-DESCnonQualifiant-ROR/FHIR/JDV-J215-DESCnonQualifiant-ROR,20220826120000,active,"1.2.250.1.213.3.4.47",JDV_J215_DESCnonQualifiant_ROR,null,"DESC non qualifiant",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J216-DroitExerciceCompl-ROR/FHIR/JDV-J216-DroitExerciceCompl-ROR,20220826120000,active,"1.2.250.1.213.3.4.48",JDV_J216_DroitExerciceCompl_ROR,null,"Droit d'exercice complémentaire",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J217-ModeExercice-ROR/FHIR/JDV-J217-ModeExercice-ROR,20220826120000,active,"1.2.250.1.213.3.4.49",JDV_J217_ModeExercice_ROR,null,"Mode d'exercice",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J218-CNAMAmeliSecteurConventionnement-ROR/FHIR/JDV-J218-CNAMAmeliSecteurConventionnement-ROR,20220826120000,active,"1.2.250.1.213.3.4.50",JDV_J218_CNAMAmeliSecteurConventionnement_ROR,null,"Secteur de conventionnement du professionnel libéral par la CNAM extracts ameli",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J219-TypeVoie-ROR/FHIR/JDV-J219-TypeVoie-ROR,20220826120000,active,"1.2.250.1.213.3.4.51",JDV_J219_TypeVoie_ROR,null,"Type de voie",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J22-RestrictionAudienceVIHF-CISIS/FHIR/JDV-J22-RestrictionAudienceVIHF-CISIS,20200424120000,active,"1.2.250.1.213.1.1.5.469",JDV_J22_RestrictionAudienceVIHF_CISIS,null,"Restriction d'audience pour les traces des VIHF",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J220-FonctionContact-ROR/FHIR/JDV-J220-FonctionContact-ROR,20240426120000,active,"1.2.250.1.213.3.4.52",JDV_J220_FonctionContact_ROR,null,"Un titre, une position, une fonction de la personne contact dans l'organisation",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J221-NatureContact-ROR/FHIR/JDV-J221-NatureContact-ROR,20240426120000,active,"1.2.250.1.213.3.4.53",JDV_J221_NatureContact_ROR,null,"Un service ou un guichet assurant le contact au sein de l'organisation",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J222-NiveauConfidentialite-ROR/FHIR/JDV-J222-NiveauConfidentialite-ROR,20220826120000,active,"1.2.250.1.213.3.4.54",JDV_J222_NiveauConfidentialite_ROR,null,"Niveau de restriction d'accès",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J223-TypeDivisionTerritoriale-ROR/FHIR/JDV-J223-TypeDivisionTerritoriale-ROR,20220826120000,active,"1.2.250.1.213.3.4.55",JDV_J223_TypeDivisionTerritoriale_ROR,null,"Type de division territoriale",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J224-StatutLieu-ROR/FHIR/JDV-J224-StatutLieu-ROR,20220826120000,active,"1.2.250.1.213.3.4.56",JDV_J224_StatutLieu_ROR,null,"Statut lieu",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J225-CanalCommunication-ROR/FHIR/JDV-J225-CanalCommunication-ROR,20220826120000,active,"1.2.250.1.213.3.4.57",JDV_J225_CanalCommunication_ROR,null,"Canal de communication",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J226-ModaliteAccueil-ROR/FHIR/JDV-J226-ModaliteAccueil-ROR,20230217120000,active,"1.2.250.1.213.3.4.58",JDV_J226_ModaliteAccueil_ROR,null,"Modalité d'accueil",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J227-NiveauExpertise-ROR/FHIR/JDV-J227-NiveauExpertise-ROR,20240628120000,active,"1.2.250.1.213.3.4.59",JDV_J227_NiveauExpertise_ROR,null,"Niveau de ressources humaines et matérielles utiles pour la réalisation de l'offre",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J228-TypeCaracteristiqueEquipement-ROR/FHIR/JDV-J228-TypeCaracteristiqueEquipement-ROR,20220826120000,active,"1.2.250.1.213.3.4.60",JDV_J228_TypeCaracteristiqueEquipement_ROR,null,"Type de caractéristique équipement",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J229-ProfessionSante-ROR/FHIR/JDV-J229-ProfessionSante-ROR,20220826120000,active,"1.2.250.1.213.3.4.61",JDV_J229_ProfessionSante_ROR,null,"Type de caractéristique équipement",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J23-TypeNoteCahierLiaison-CISIS/FHIR/JDV-J23-TypeNoteCahierLiaison-CISIS,20200424120000,active,"1.2.250.1.213.1.1.5.98",JDV_J23_TypeNoteCahierLiaison_CISIS,null,"Type de note du cahier de liaison - CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J231-XdsTypesIdentifiantsReferenceId-DMP/FHIR/JDV-J231-XdsTypesIdentifiantsReferenceId-DMP,20221216120000,active,"1.2.250.1.213.1.1.5.693",JDV_J231_XdsTypesIdentifiantsReferenceId_DMP,null,"Types d'identifiants utilisés dans la métadonnée XDS referenceIdList de la fiche du document dans le cadre du DMP",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J232-Competence-ROR/FHIR/JDV-J232-Competence-ROR,20240628120000,active,"1.2.250.1.213.3.4.63",JDV_J232_Competence_ROR,null,"Compétence",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J233-TypeDiplome-EPARS/FHIR/JDV-J233-TypeDiplome-EPARS,20220729120000,active,"1.2.250.1.213.1.6.1.244",JDV_J233_TypeDiplome_EPARS,null,"Jeu de valeur intégrant les types de diplômes pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J234-GenreActivite-EPARS/FHIR/JDV-J234-GenreActivite-EPARS,20220930120000,active,"1.2.250.1.213.1.6.1.245",JDV_J234_GenreActivite_EPARS,null,"Genre d'activité pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J235-LieuFormation-EPARS/FHIR/JDV-J235-LieuFormation-EPARS,20230630120000,active,"1.2.250.1.213.1.6.1.246",JDV_J235_LieuFormation_EPARS,null,"Lieu de formation pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J236-TypeIdentifiant-ROR/FHIR/JDV-J236-TypeIdentifiant-ROR,20231030120000,active,"1.2.250.1.213.3.4.110",JDV_J236_TypeIdentifiant_ROR,null,"Types d'identifiants utilisés dans le ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J237-RegionOM-ROR/FHIR/JDV-J237-RegionOM-ROR,20240126120000,retired,"1.2.250.1.213.3.4.64",JDV_J237_RegionOM_ROR,null,"Région Outre-Mer et Monaco",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J238-TypeOffre-ROR/FHIR/JDV-J238-TypeOffre-ROR,20240628120000,active,"1.2.250.1.213.3.4.65",JDV_J238_TypeOffre_ROR,null,"Prestations que peut réaliser une structure et qui permettent de répondre au besoin de santé d'une personne",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J239-SpecialitesSNP-SAS/FHIR/JDV-J239-SpecialitesSNP-SAS,20240126120000,active,"1.2.250.1.213.3.4.104",JDV_J239_SpecialitesSNP_SAS,null,"Professions de santé participant au Service d'Accès aux Soins",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J24-ProfessionAuteurNote-CISIS/FHIR/JDV-J24-ProfessionAuteurNote-CISIS,20200424120000,active,"1.2.250.1.213.1.1.5.99",JDV_J24_ProfessionAuteurNote_CISIS,null,"Profession de l'auteur de la note du cahier de liaison - CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J241-ThematiqueAnomalie-ROR/FHIR/JDV-J241-ThematiqueAnomalie-ROR,20240126120000,active,"1.2.250.1.213.3.4.106",JDV_J241_ThematiqueAnomalie_ROR,null,"Thématique caractérisant une anomalie de donnée ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J242-ActionAnomalie-ROR/FHIR/JDV-J242-ActionAnomalie-ROR,20230331120000,active,"1.2.250.1.213.3.4.107",JDV_J242_ActionAnomalie_ROR,null,"Action attendue dans le cadre de la gestion d'une anomalie de donnée dans le ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J244-StatutMetierAnomalie-ROR/FHIR/JDV-J244-StatutMetierAnomalie-ROR,20230922120000,active,"1.2.250.1.213.3.4.109",JDV_J244_StatutMetierAnomalie_ROR,null,"Statut métier des anomalies",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J245-Civilite-CISIS/FHIR/JDV-J245-Civilite-CISIS,20230331120000,active,"1.2.250.1.213.1.1.5.718",JDV_J245_Civilite_CISIS,null,"Civilités CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J246-Titre-CISIS/FHIR/JDV-J246-Titre-CISIS,20240126120000,active,"1.2.250.1.213.1.1.5.719",JDV_J246_Titre_CISIS,null,"Civilités CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J247-Pays-ROR/FHIR/JDV-J247-Pays-ROR,20240126120000,retired,"1.2.250.1.213.3.4.111",JDV_J247_Pays_ROR,null,"Référentiel des codes pays provenant du COG INSEE - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J248-DepartementOM-ROR/FHIR/JDV-J248-DepartementOM-ROR,20240126120000,retired,"1.2.250.1.213.3.4.112",JDV_J248_DepartementOM_ROR,null,"Département (outre-mer et Monaco inclus) - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J249-TerritoireSante-ROR/FHIR/JDV-J249-TerritoireSante-ROR,20230331120000,active,"1.2.250.1.213.3.4.113",JDV_J249_TerritoireSante_ROR,null,"Territoire de Santé (au sens ARS) en France - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J250-MotifStatutPersonnePriseChargeUnite/FHIR/JDV-J250-MotifStatutPersonnePriseChargeUnite,20240126120000,active,"1.2.250.1.213.3.4.114",JDV_J250_MotifStatutPersonnePriseChargeUnite,null,"Motif du statut de la personne prise en charge au sein d'une unité",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J251-MotifStatutPersonnePriseChargeESMS/FHIR/JDV-J251-MotifStatutPersonnePriseChargeESMS,20230922120000,active,"1.2.250.1.213.3.4.115",JDV_J251_MotifStatutPersonnePriseChargeESMS,null,"Motif du statut de la personne prise en charge au sein d'un ESMS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J252-StatutPersonnePriseChargeESMS/FHIR/JDV-J252-StatutPersonnePriseChargeESMS,20230922120000,active,"1.2.250.1.213.3.4.116",JDV_J252_StatutPersonnePriseChargeESMS,null,"Statut de la personne prise en charge au sein d'un ESMS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J253-StatutPersonnePriseChargeUnite/FHIR/JDV-J253-StatutPersonnePriseChargeUnite,20230922120000,active,"1.2.250.1.213.3.4.117",JDV_J253_StatutPersonnePriseChargeUnite,null,"Statut de la personne prise en charge au sein d'une unité",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J254-CategorieEtablissementESSMSPH/FHIR/JDV-J254-CategorieEtablissementESSMSPH,20231215120000,active,"1.2.250.1.213.3.4.218",JDV_J254_CategorieEtablissementESSMSPH,null,"Liste les catégories d’établissements ESSMS (Etablissement ou Service Social ou Médico-Social) pour les personnes porteurs d’handicap",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J255-SurspecialiteTransversale-RPPS/FHIR/JDV-J255-SurspecialiteTransversale-RPPS,20240329120000,active,"1.2.250.1.213.1.6.1.282",JDV_J255_SurspecialiteTransversale_RPPS,null,"Surspécialité (compétence) acquise par l'interne à l'issue d'une Formation Spécialisée Transversale (FST)",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J256-Pays/FHIR/JDV-J256-Pays,20240628120000,active,"1.2.250.1.213.1.1.5.762",JDV_J256_Pays,null,"Tous les codes actifs de la nomenclature du COG INSEE pays auquel on ajoute le code applicatif ""non renseigné""",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J257-Region/FHIR/JDV-J257-Region,20240628120000,active,"1.2.250.1.213.1.1.5.763",JDV_J257_Region,null,"Tous les codes actifs des régions et collectivités d'outre-mer actives + Monaco du COG INSEE",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J258-Departement/FHIR/JDV-J258-Departement,20240628120000,active,"1.2.250.1.213.1.1.5.764",JDV_J258_Departement,null,"Tous les codes actifs des départements et collectivités d'outre-mer actives + Monaco du COG INSEE",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J26-ModeGestion-ROR/FHIR/JDV-J26-ModeGestion-ROR,20200424120000,active,"1.2.250.1.213.3.3.24",JDV_J26_ModeGestion_ROR,null,"Mode gestion - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J262-Sexe/FHIR/JDV-J262-Sexe,20240329120000,active,"1.2.250.1.213.1.1.5.766",JDV_J262_Sexe,null,"Tous les codes actifs de la notion sexe",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J264-ModeEtCentreDePriseEnCharge-MDPH/FHIR/JDV-J264-ModeEtCentreDePriseEnCharge-MDPH,20240628120000,active,"1.2.250.1.213.3.4.105",JDV_J264_ModeEtCentreDePriseEnCharge_MDPH,null,"Les modes de prise en charge en établissements ESMS qui sont possibles pour l'usager est validées en commission par la CDAPH",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J27-GroupeTarifaireDependance-ROR/FHIR/JDV-J27-GroupeTarifaireDependance-ROR,20240126120000,active,"1.2.250.1.213.3.3.26",JDV_J27_GroupeTarifaireDependance_ROR,null,"Niveau de dépendance associé à un tarif d'un ESMS - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J28-OuvertureAnnuelle-ROR/FHIR/JDV-J28-OuvertureAnnuelle-ROR,20200424120000,active,"1.2.250.1.213.3.3.28",JDV_J28_OuvertureAnnuelle_ROR,null,"Ouverture annuelle - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J29-PublicPrisEnCharge-ROR/FHIR/JDV-J29-PublicPrisEnCharge-ROR,20240426120000,active,"1.2.250.1.213.3.3.30",JDV_J29_PublicPrisEnCharge_ROR,null,"Public pris en charge - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J30-TemporaliteAccueil-ROR/FHIR/JDV-J30-TemporaliteAccueil-ROR,20200424120000,active,"1.2.250.1.213.3.3.32",JDV_J30_TemporaliteAccueil_ROR,null,"Temporalité accueil - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J31-AideFinanciere-ROR/FHIR/JDV-J31-AideFinanciere-ROR,20200424120000,active,"1.2.250.1.213.3.3.34",JDV_J31_AideFinanciere_ROR,null,"Jeu de valeur de la nomenclature des aides financières - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J32-TypeHabitation-ROR/FHIR/JDV-J32-TypeHabitation-ROR,20200424120000,active,"1.2.250.1.213.3.3.36",JDV_J32_TypeHabitation_ROR,null,"Type habitation - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J33-CompetenceSpecifique-ROR/FHIR/JDV-J33-CompetenceSpecifique-ROR,20240426120000,active,"1.2.250.1.213.3.3.38",JDV_J33_CompetenceSpecifique_ROR,null,"Compétence spécifique - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J34-CategorieOrganisation-ROR/FHIR/JDV-J34-CategorieOrganisation-ROR,20240628120000,active,"1.2.250.1.213.3.3.40",JDV_J34_CategorieOrganisation_ROR,null,"Catégorie d'organisation - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J35-SpecialisationDePriseEnCharge-ROR/FHIR/JDV-J35-SpecialisationDePriseEnCharge-ROR,20240628120000,active,"1.2.250.1.213.3.3.42",JDV_J35_SpecialisationDePriseEnCharge_ROR,null,"Spécialisation de prise en charge - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J36-TypeTarif-ROR/FHIR/JDV-J36-TypeTarif-ROR,20230630120000,active,"1.2.250.1.213.3.3.44",JDV_J36_TypeTarif_ROR,null,"Type tarif - ROR",,"Internal"
